,bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,qp
0,9017.34,46.4742,48.3619,48.9987,47.0123,RitualDance,lowdelay,22
1,4486.245,43.1262,45.8682,45.9671,43.73,RitualDance,lowdelay,27
2,2407.53,39.8667,44.1419,43.9713,40.6898,RitualDance,lowdelay,32
3,1347.18,36.9322,42.1438,42.2775,37.9051,RitualDance,lowdelay,37
