fileName,qp,frames,bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR
RaceHorsesC,22,32,16041.135,43.1993,43.7488,44.4469,43.4737
RaceHorsesC,32,32,5626.0875,35.948,37.6879,39.2392,36.6181
RaceHorsesC,37,32,2929.7475,32.2573,36.3596,37.5909,33.3298
RaceHorsesC,27,32,9624.315,39.5369,40.0967,41.4673,39.8972
